level,user,password,team,province,date
4,TEST-WendyRobertson,TEST-TEST-WendyRobertson,TEST-Ottawa 67's,BC,2022-02-21
6,TEST-NicoleSherwood,TEST-TEST-NicoleSherwood,TEST-Ottawa 67's,BC,2022-02-19
5,TEST-EduardoBrooks,TEST-TEST-EduardoBrooks,TEST-Owen Sound Attack,NS,2022-01-15
9,TEST-MadisonCoates,TEST-TEST-MadisonCoates,TEST-Ottawa 67's,BC,2022-02-10
5,TEST-LailaIngham,TEST-TEST-LailaIngham,TEST-Mississauga Steelheads,MB,2022-01-10
6,TEST-DianeBroomfield,TEST-TEST-DianeBroomfield,TEST-Oshawa Generals,AB,2022-01-02
2,TEST-JaneSimpson,TEST-TEST-JaneSimpson,TEST-Sudbury Wolves,NB,2022-01-08
7,TEST-ZoeWebster,TEST-TEST-ZoeWebster,TEST-Oshawa Generals,AB,2022-01-01
6,TEST-CaraBriggs,TEST-TEST-CaraBriggs,TEST-Niagara IceDogs,QC,2022-01-27
8,TEST-JaniceTyrrell,TEST-TEST-JaniceTyrrell,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-03
3,TEST-CatherinePurvis,TEST-TEST-CatherinePurvis,TEST-Oshawa Generals,AB,2022-02-01
7,TEST-EduardoYoung,TEST-TEST-EduardoYoung,TEST-Oshawa Generals,AB,2022-02-04
6,TEST-TomCameron,TEST-TEST-TomCameron,TEST-Barrie Colts,ON,2022-01-19
4,TEST-CynthiaBennett,TEST-TEST-CynthiaBennett,TEST-London Knights,NL,2022-02-25
7,TEST-EmelyReynolds,TEST-TEST-EmelyReynolds,TEST-Kingston Frontenacs,PE,2022-01-27
2,TEST-DennySanchez,TEST-TEST-DennySanchez,TEST-Ottawa 67's,BC,2022-01-13
4,TEST-FaithSanchez,TEST-TEST-FaithSanchez,TEST-Niagara IceDogs,QC,2022-01-16
8,TEST-RyanEvans,TEST-TEST-RyanEvans,TEST-North Bay Battalion,NT,2022-02-11
4,TEST-JazminDubois,TEST-TEST-JazminDubois,TEST-Sudbury Wolves,NB,2022-02-03
10,TEST-PhillipTanner,TEST-TEST-PhillipTanner,TEST-Guelph Storm,NU,2022-01-11
4,TEST-NateOwens,TEST-TEST-NateOwens,TEST-Owen Sound Attack,NS,2022-02-11
3,TEST-BryonCobb,TEST-TEST-BryonCobb,TEST-Ottawa 67's,BC,2022-01-17
10,TEST-JackPoulton,TEST-TEST-JackPoulton,TEST-Peterborough Petes,YT,2022-02-06
10,TEST-BreeRamsey,TEST-TEST-BreeRamsey,TEST-Niagara IceDogs,QC,2022-02-10
7,TEST-MeganLyon,TEST-TEST-MeganLyon,TEST-Barrie Colts,ON,2022-02-02
7,TEST-ChristineClifford,TEST-TEST-ChristineClifford,TEST-Peterborough Petes,YT,2022-01-22
3,TEST-VivianZaoui,TEST-TEST-VivianZaoui,TEST-Oshawa Generals,AB,2022-02-25
10,TEST-BlakeMorley,TEST-TEST-BlakeMorley,TEST-Peterborough Petes,YT,2022-02-26
7,TEST-JoshHarrison,TEST-TEST-JoshHarrison,TEST-Mississauga Steelheads,MB,2022-01-23
2,TEST-GeorgeTorres,TEST-TEST-GeorgeTorres,TEST-Peterborough Petes,YT,2022-03-02
4,TEST-ShelbyGraham,TEST-TEST-ShelbyGraham,TEST-Sudbury Wolves,NB,2022-02-22
10,TEST-MaraUpton,TEST-TEST-MaraUpton,TEST-Kingston Frontenacs,PE,2022-01-29
4,TEST-WadeGrant,TEST-TEST-WadeGrant,TEST-Hamilton Bulldogs,BC,2022-02-20
10,TEST-MarlaJacobs,TEST-TEST-MarlaJacobs,TEST-London Knights,NL,2022-01-11
4,TEST-GilAtkinson,TEST-TEST-GilAtkinson,TEST-Ottawa 67's,BC,2022-02-11
2,TEST-AndieHiggs,TEST-TEST-AndieHiggs,TEST-London Knights,NL,2022-02-28
5,TEST-AlexanderHolt,TEST-TEST-AlexanderHolt,TEST-Barrie Colts,ON,2022-01-11
1,TEST-DianeMatthews,TEST-TEST-DianeMatthews,TEST-North Bay Battalion,NT,2022-01-03
8,TEST-HankMorley,TEST-TEST-HankMorley,TEST-Kitchener Rangers,NS,2022-01-10
3,TEST-JennaShields,TEST-TEST-JennaShields,TEST-Hamilton Bulldogs,BC,2022-01-25
2,TEST-AlisonWoodley,TEST-TEST-AlisonWoodley,TEST-Barrie Colts,ON,2022-03-03
1,TEST-EthanJefferson,TEST-TEST-EthanJefferson,TEST-Oshawa Generals,AB,2022-02-25
7,TEST-DomenicSimpson,TEST-TEST-DomenicSimpson,TEST-Sarnia Sting,MB,2022-01-21
7,TEST-LeroyButler,TEST-TEST-LeroyButler,TEST-Sudbury Wolves,NB,2022-02-11
10,TEST-CarlRivers,TEST-TEST-CarlRivers,TEST-Guelph Storm,NU,2022-02-13
5,TEST-HarveyCasey,TEST-TEST-HarveyCasey,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-16
6,TEST-RosiePoole,TEST-TEST-RosiePoole,TEST-Sarnia Sting,MB,2022-01-01
1,TEST-JackUpsdell,TEST-TEST-JackUpsdell,TEST-London Knights,NL,2022-02-01
5,TEST-AbdulSeymour,TEST-TEST-AbdulSeymour,TEST-Ottawa 67's,BC,2022-01-17
6,TEST-LivAndersson,TEST-TEST-LivAndersson,TEST-Sarnia Sting,MB,2022-01-02
5,TEST-VeraZaoui,TEST-TEST-VeraZaoui,TEST-Oshawa Generals,AB,2022-01-20
7,TEST-PenelopeStevens,TEST-TEST-PenelopeStevens,TEST-Guelph Storm,NU,2022-03-03
8,TEST-CarmellaCowan,TEST-TEST-CarmellaCowan,TEST-Ottawa 67's,BC,2022-02-03
2,TEST-EdenKent,TEST-TEST-EdenKent,TEST-Kitchener Rangers,NS,2022-02-22
6,TEST-LeroyBeal,TEST-TEST-LeroyBeal,TEST-Hamilton Bulldogs,BC,2022-01-29
8,TEST-RoccoSantos,TEST-TEST-RoccoSantos,TEST-Ottawa 67's,BC,2022-01-11
6,TEST-AlessandraBrock,TEST-TEST-AlessandraBrock,TEST-Kingston Frontenacs,PE,2022-01-13
10,TEST-AdelaDickson,TEST-TEST-AdelaDickson,TEST-Oshawa Generals,AB,2022-01-05
1,TEST-RyanHopkinson,TEST-TEST-RyanHopkinson,TEST-North Bay Battalion,NT,2022-01-28
6,TEST-BlakeGunn,TEST-TEST-BlakeGunn,TEST-Barrie Colts,ON,2022-01-05
2,TEST-DianeKirby,TEST-TEST-DianeKirby,TEST-Owen Sound Attack,NS,2022-01-23
4,TEST-PhillipDevonport,TEST-TEST-PhillipDevonport,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-16
3,TEST-CedrickLarsen,TEST-TEST-CedrickLarsen,TEST-Sarnia Sting,MB,2022-01-30
4,TEST-JayleneDickson,TEST-TEST-JayleneDickson,TEST-Barrie Colts,ON,2022-01-19
9,TEST-FredFall,TEST-TEST-FredFall,TEST-Kitchener Rangers,NS,2022-02-14
8,TEST-JulesRanks,TEST-TEST-JulesRanks,TEST-London Knights,NL,2022-03-02
8,TEST-KirstenMarshall,TEST-TEST-KirstenMarshall,TEST-Owen Sound Attack,NS,2022-01-24
9,TEST-JuliusWhite,TEST-TEST-JuliusWhite,TEST-Kitchener Rangers,NS,2022-02-02
1,TEST-AlessiaSherry,TEST-TEST-AlessiaSherry,TEST-Peterborough Petes,YT,2022-02-05
3,TEST-LiamShields,TEST-TEST-LiamShields,TEST-Mississauga Steelheads,MB,2022-02-18
7,TEST-BradWalter,TEST-TEST-BradWalter,TEST-London Knights,NL,2022-02-01
10,TEST-TaylorThomas,TEST-TEST-TaylorThomas,TEST-Sarnia Sting,MB,2022-01-06
6,TEST-MelodyBlackburn,TEST-TEST-MelodyBlackburn,TEST-Kitchener Rangers,NS,2022-01-08
10,TEST-MadisonFranks,TEST-TEST-MadisonFranks,TEST-Hamilton Bulldogs,BC,2022-01-07
6,TEST-HenryRobe,TEST-TEST-HenryRobe,TEST-Sudbury Wolves,NB,2022-01-08
9,TEST-EmeraldRoss,TEST-TEST-EmeraldRoss,TEST-Owen Sound Attack,NS,2022-03-02
10,TEST-RihannaRoman,TEST-TEST-RihannaRoman,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-28
10,TEST-ClintDempsey,TEST-TEST-ClintDempsey,TEST-Owen Sound Attack,NS,2022-01-08
7,TEST-NicholasBrooks,TEST-TEST-NicholasBrooks,TEST-Mississauga Steelheads,MB,2022-01-13
5,TEST-JohnYoman,TEST-TEST-JohnYoman,TEST-Peterborough Petes,YT,2022-01-01
10,TEST-RogerAlexander,TEST-TEST-RogerAlexander,TEST-Guelph Storm,NU,2022-01-01
7,TEST-BarryRoman,TEST-TEST-BarryRoman,TEST-London Knights,NL,2022-02-01
10,TEST-BradOsmond,TEST-TEST-BradOsmond,TEST-Mississauga Steelheads,MB,2022-01-10
2,TEST-MichaelWilkinson,TEST-TEST-MichaelWilkinson,TEST-London Knights,NL,2022-02-17
8,TEST-RickBooth,TEST-TEST-RickBooth,TEST-Hamilton Bulldogs,BC,2022-03-03
4,TEST-GeorgeLewin,TEST-TEST-GeorgeLewin,TEST-Ottawa 67's,BC,2022-01-13
7,TEST-ChadDunbar,TEST-TEST-ChadDunbar,TEST-Guelph Storm,NU,2022-01-17
3,TEST-AmySmith,TEST-TEST-AmySmith,TEST-Oshawa Generals,AB,2022-02-26
9,TEST-PeterAinsworth,TEST-TEST-PeterAinsworth,TEST-Niagara IceDogs,QC,2022-03-03
3,TEST-HaydenMarshall,TEST-TEST-HaydenMarshall,TEST-Ottawa 67's,BC,2022-01-10
2,TEST-AlexanderKhan,TEST-TEST-AlexanderKhan,TEST-Oshawa Generals,AB,2022-02-12
4,TEST-GabrielSantos,TEST-TEST-GabrielSantos,TEST-Hamilton Bulldogs,BC,2022-01-29
7,TEST-MasonHoward,TEST-TEST-MasonHoward,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-29
6,TEST-ChadStewart,TEST-TEST-ChadStewart,TEST-Sarnia Sting,MB,2022-02-12
